DBA Name,Inspection Date,Results,IS_JUNK_STORE,IS_REAL_GROCERY,HAS_PRODUCE_FLAG,Address,City,State,Zip,Violations,Latitude,Longitude,DBA_NAME_CLEAN,ADDRESS_CLEAN,geometry,index_right,Community,shape_area,area_num_1,AreaNumber,shape_len,IS_REVIEWED_REAL,REVIEW_NOTES
Travel Traders #501,2024-05-09,Pass,TRUE,FALSE,FALSE,505 N Michigan Ave,CHICAGO,IL,60611.0,"55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED BOTTOM DISPLAY SHELVES DUSTY. MUST CLEAN AND MAINTAIN.",41.891120593048900,-87.6239887043228,TRAVEL TRADERS 501,505 N MICHIGAN AVE,POINT (-87.6239887043228 41.891120593048896),7.0,NEAR NORTH SIDE,76675895.9728,8.0,8.0,57293.1649516,,
It'Sugar,2024-04-22,Pass,TRUE,FALSE,FALSE,717 N Michigan Ave,CHICAGO,IL,60611.0,,41.8955581096264,-87.6241200636275,ITSUGAR,717 N MICHIGAN AVE,POINT (-87.6241200636275 41.8955581096264),7.0,NEAR NORTH SIDE,76675895.9728,8.0,8.0,57293.1649516,,
Travel Traders #3090,2023-03-22,Out Of Business,TRUE,FALSE,FALSE,540 N Michigan Ave,CHICAGO,IL,60611.0,,41.8921407837204,-87.6243127844219,TRAVEL TRADERS 3090,540 N MICHIGAN AVE,POINT (-87.6243127844219 41.8921407837204),7.0,NEAR NORTH SIDE,76675895.9728,8.0,8.0,57293.1649516,,
Pronto Residential Llc - One Superior Series,2023-01-17,Pass,TRUE,FALSE,FALSE,1 W Superior St,CHICAGO,IL,60654.0,,41.8955683487028,-87.6282518614732,PRONTO RESIDENTIAL LLC ONE SUPERIOR SERIES,1 W SUPERIOR ST,POINT (-87.6282518614732 41.8955683487028),7.0,NEAR NORTH SIDE,76675895.9728,8.0,8.0,57293.1649516,,
Pronto Residential Llc - Streeter Series,2023-01-17,Pass,TRUE,FALSE,FALSE,345 E Superior St,CHICAGO,IL,60611.0,,41.8957188218313,-87.6187314301546,PRONTO RESIDENTIAL LLC STREETER SERIES,345 E SUPERIOR ST,POINT (-87.6187314301546 41.8957188218313),7.0,NEAR NORTH SIDE,76675895.9728,8.0,8.0,57293.1649516,,
Garfields Beverage,2022-12-28,Pass,TRUE,FALSE,FALSE,1437 N Wells St,CHICAGO,IL,60610.0,,41.9087500882535,-87.6344885541598,GARFIELDS BEVERAGE,1437 N WELLS ST,POINT (-87.6344885541598 41.9087500882535),7.0,NEAR NORTH SIDE,76675895.9728,8.0,8.0,57293.1649516,,
The Spice House,2022-12-14,Pass,TRUE,FALSE,FALSE,1512 N Wells St,CHICAGO,IL,60610.0,,41.9095831799346,-87.6348075756375,THE SPICE HOUSE,1512 N WELLS ST,POINT (-87.6348075756375 41.9095831799346),7.0,NEAR NORTH SIDE,76675895.9728,8.0,8.0,57293.1649516,,
"Old Town Oil,Llc",2022-12-14,Pass,TRUE,FALSE,FALSE,1543 N Wells St,CHICAGO,IL,60610.0,,41.9104081905005,-87.63454009171,OLD TOWN OILLLC,1543 N WELLS ST,POINT (-87.63454009171 41.9104081905005),7.0,NEAR NORTH SIDE,76675895.9728,8.0,8.0,57293.1649516,,
Vosges Haut-Chocolat,2022-12-01,Out Of Business,TRUE,FALSE,FALSE,520 N Michigan Ave,CHICAGO,IL,60611.0,,41.8916885173683,-87.6243071781258,VOSGES HAUTCHOCOLAT,520 N MICHIGAN AVE,POINT (-87.6243071781258 41.8916885173683),7.0,NEAR NORTH SIDE,76675895.9728,8.0,8.0,57293.1649516,,
Elephants Etc Inc,2022-11-08,Out Of Business,TRUE,FALSE,FALSE,875 N Michigan Ave,CHICAGO,IL,60611.0,,41.8989485417299,-87.6239749876897,ELEPHANTS ETC INC,875 N MICHIGAN AVE,POINT (-87.6239749876897 41.8989485417299),7.0,NEAR NORTH SIDE,76675895.9728,8.0,8.0,57293.1649516,,
Go Grocer,2022-10-20,Pass,TRUE,FALSE,FALSE,1325 N Wells St,CHICAGO,IL,60610.0,,41.9064731987793,-87.6344199474239,GO GROCER,1325 N WELLS ST,POINT (-87.6344199474239 41.9064731987793),7.0,NEAR NORTH SIDE,76675895.9728,8.0,8.0,57293.1649516,,
Getir,2022-10-11,Pass,TRUE,FALSE,FALSE,413-415 W North Ave,CHICAGO,IL,60610.0,,41.9109970361105,-87.6391184915226,GETIR,413415 W NORTH AVE,POINT (-87.6391184915226 41.9109970361105),7.0,NEAR NORTH SIDE,76675895.9728,8.0,8.0,57293.1649516,,
Mark Vend Company,2022-06-16,Pass,TRUE,FALSE,FALSE,600 W Chicago Ave,CHICAGO,IL,60654.0,,41.8965851911996,-87.642996181725,MARK VEND COMPANY,600 W CHICAGO AVE,POINT (-87.642996181725 41.8965851911996),7.0,NEAR NORTH SIDE,76675895.9728,8.0,8.0,57293.1649516,,
Dylan'S Candybar,2022-06-02,Out Of Business,TRUE,FALSE,FALSE,663 N Michigan Ave,CHICAGO,IL,60611.0,,41.8943223383642,-87.6240920985287,DYLANS CANDYBAR,663 N MICHIGAN AVE,POINT (-87.6240920985287 41.8943223383642),7.0,NEAR NORTH SIDE,76675895.9728,8.0,8.0,57293.1649516,,
